payment_batch_line_id,payment_batch_id,transaction_date,market_code,channel_type,customer_name,customer_number,item_description,line_total,payment_batch_total,invoice_ref,reservation_ref,acquirer_reference,primary_reference,reference_parse_status,receipt_line_id,receipt_ref,receipt_date,receipt_channel,receipt_status,receipt_exception_type,reference_resolution_method,match_rule,receipt_amount,variance_amount,match_status,workflow_queue,reconciliation_target,review_reason
pb003_line011,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001058,RES 1200001058 INV 100660001058 payment evidence,330.60,4310.15,100660001058,1200001058,,100660001058,PARSED,receipt_ref_005_line001,receipt_ref_005,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,330.60,,MATCH,READY,receipt_ref_005,
pb003_line015,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001062,RES 1200001062 INV 100660001062 payment evidence,330.60,4310.15,100660001062,1200001062,,100660001062,PARSED,receipt_ref_005_line005,receipt_ref_005,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,330.60,,MATCH,READY,receipt_ref_005,
pb003_line001,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001048,RES 1200001048 INV 100660001048 payment evidence,134.40,4310.15,100660001048,1200001048,,100660001048,PARSED,receipt_ref_004_line001,receipt_ref_004,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,134.40,,MATCH,READY,receipt_ref_004,
pb003_line005,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001052,RES 1200001052 INV 100660001052 payment evidence,134.40,4310.15,100660001052,1200001052,,100660001052,PARSED,receipt_ref_004_line005,receipt_ref_004,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,134.40,,MATCH,READY,receipt_ref_004,
pb003_line009,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001056,RES 1200001056 INV 100660001056 payment evidence,134.40,4310.15,100660001056,1200001056,,100660001056,PARSED,receipt_ref_004_line009,receipt_ref_004,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,134.40,,MATCH,READY,receipt_ref_004,
pb003_line013,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001060,RES 1200001060 INV 100660001060 payment evidence,134.40,4310.15,100660001060,1200001060,,100660001060,PARSED,receipt_ref_005_line003,receipt_ref_005,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,134.40,,MATCH,READY,receipt_ref_005,
pb003_line002,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001049,RES 1200001049 INV 100660001049 payment evidence,223.10,4310.15,100660001049,1200001049,,100660001049,PARSED,receipt_ref_004_line002,receipt_ref_004,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,223.10,,MATCH,READY,receipt_ref_004,
pb003_line006,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001053,RES 1200001053 INV 100660001053 payment evidence,223.10,4310.15,100660001053,1200001053,,100660001053,PARSED,receipt_ref_004_line006,receipt_ref_004,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,223.10,,MATCH,READY,receipt_ref_004,
pb003_line010,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001057,RES 1200001057 INV 100660001057 payment evidence,223.10,4310.15,100660001057,1200001057,,100660001057,PARSED,receipt_ref_004_line010,receipt_ref_004,2026-03-24,CARD_PRESENT,Rejected,REJECTED_CARD_TRANSACTION,ACQUIRER_REFERENCE,INVOICE,223.10,,REJECTED,REJECTED,receipt_ref_004,REJECTED_CARD_TRANSACTION
pb003_line014,payment_batch_003,2026-03-24,DE,CARD_PRESENT,Portfolio Customer,CU001061,RES 1200001061 INV 100660001061 payment evidence,223.10,4310.15,100660001061,1200001061,,100660001061,PARSED,receipt_ref_005_line004,receipt_ref_005,2026-03-24,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,223.10,,MATCH,READY,receipt_ref_005,
pb001_line003,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001003,RES 1200001003 INV 100660001003 payment evidence,448.80,6057.85,100660001003,1200001003,,100660001003,PARSED,receipt_ref_001_line003,receipt_ref_001,2026-04-28,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,448.80,,MATCH,READY,receipt_ref_001,
pb001_line005,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001005,RES 1200001005 INV 100660001005 payment evidence,160.75,6057.85,100660001005,1200001005,,100660001005,PARSED,receipt_ref_001_line005,receipt_ref_001,2026-04-28,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,160.75,,MATCH,READY,receipt_ref_001,
pb001_line011,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001011,RES 1200001011 INV 100660001011 payment evidence,448.80,6057.85,100660001011,1200001011,,100660001011,PARSED,receipt_ref_001_line011,receipt_ref_001,2026-04-28,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,448.80,,MATCH,READY,receipt_ref_001,
pb001_line015,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001015,RES 1200001015 INV 100660001015 payment evidence,448.80,6057.85,100660001015,1200001015,,100660001015,PARSED,receipt_ref_002_line002,receipt_ref_002,2026-04-27,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,448.80,,MATCH,READY,receipt_ref_002,
pb001_line019,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001019,RES 1200001019 INV 100660001019 payment evidence,448.80,6057.85,100660001019,1200001019,,100660001019,PARSED,receipt_ref_002_line006,receipt_ref_002,2026-04-27,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,448.80,,MATCH,READY,receipt_ref_002,
pb001_line023,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001023,RES 1200001023 INV 100660001023 payment evidence,448.80,6057.85,100660001023,1200001023,,100660001023,PARSED,receipt_ref_002_line010,receipt_ref_002,2026-04-27,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,448.80,,MATCH,READY,receipt_ref_002,
pb001_line001,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001001,RES 1200001001 INV 100660001001 payment evidence,160.75,6057.85,100660001001,1200001001,,100660001001,PARSED,receipt_ref_001_line001,receipt_ref_001,2026-04-28,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,160.75,,MATCH,READY,receipt_ref_001,
pb001_line025,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001025,RES 1200001025 INV 100660001025 payment evidence,160.75,6057.85,100660001025,1200001025,,100660001025,PARSED,receipt_ref_002_line012,receipt_ref_002,2026-04-27,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,160.75,,MATCH,READY,receipt_ref_002,
pb001_line021,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001021,RES 1200001021 INV 100660001021 payment evidence,160.75,6057.85,100660001021,1200001021,,100660001021,PARSED,receipt_ref_002_line008,receipt_ref_002,2026-04-27,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,160.75,,MATCH,READY,receipt_ref_002,
pb001_line002,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001002,RES 1200001002 INV 100660001002 payment evidence,280.35,6057.85,100660001002,1200001002,,100660001002,PARSED,receipt_ref_001_line002,receipt_ref_001,2026-04-28,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,280.35,,MATCH,READY,receipt_ref_001,
pb001_line007,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001007,RES 1200001007 INV 100660001007 payment evidence,448.80,6057.85,100660001007,1200001007,,100660001007,PARSED,receipt_ref_001_line007,receipt_ref_001,2026-04-28,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,448.80,,MATCH,READY,receipt_ref_001,
pb001_line010,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001010,RES 1200001010 INV 100660001010 payment evidence,280.35,6057.85,100660001010,1200001010,,100660001010,PARSED,receipt_ref_001_line010,receipt_ref_001,2026-04-28,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,280.35,,MATCH,READY,receipt_ref_001,
pb001_line014,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001014,RES 1200001014 INV 100660001014 payment evidence,280.35,6057.85,100660001014,1200001014,,100660001014,PARSED,receipt_ref_002_line001,receipt_ref_002,2026-04-27,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,280.35,,MATCH,READY,receipt_ref_002,
pb001_line018,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001018,RES 1200001018 INV 100660001018 payment evidence,280.35,6057.85,100660001018,1200001018,,100660001018,PARSED,receipt_ref_002_line005,receipt_ref_002,2026-04-27,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,280.35,,MATCH,READY,receipt_ref_002,
pb001_line022,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001022,RES 1200001022 INV 100660001022 payment evidence,280.35,6057.85,100660001022,1200001022,,100660001022,PARSED,receipt_ref_002_line009,receipt_ref_002,2026-04-27,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,280.35,,MATCH,READY,receipt_ref_002,
pb001_line017,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001017,RES 1200001017 INV 100660001017 payment evidence,160.75,6057.85,100660001017,1200001017,,100660001017,PARSED,receipt_ref_002_line004,receipt_ref_002,2026-04-27,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,160.75,,MATCH,READY,receipt_ref_002,
pb001_line013,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001013,RES 1200001013 INV 100660001013 payment evidence,160.75,6057.85,100660001013,1200001013,,100660001013,PARSED,receipt_ref_001_line013,receipt_ref_001,2026-04-28,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,160.75,,MATCH,READY,receipt_ref_001,
pb001_line004,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001004,RES 1200001004 INV 100660001004 payment evidence,92.95,6057.85,100660001004,1200001004,,100660001004,PARSED,receipt_ref_001_line004,receipt_ref_001,2026-04-28,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,92.95,,MATCH,READY,receipt_ref_001,
pb001_line008,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001008,RES 1200001008 INV 100660001008 payment evidence,92.95,6057.85,100660001008,1200001008,,100660001008,PARSED,receipt_ref_001_line008,receipt_ref_001,2026-04-28,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,92.95,,MATCH,READY,receipt_ref_001,
pb001_line012,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001012,RES 1200001012 INV 100660001012 payment evidence,92.95,6057.85,100660001012,1200001012,,100660001012,PARSED,receipt_ref_001_line012,receipt_ref_001,2026-04-28,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,92.95,,MATCH,READY,receipt_ref_001,
pb001_line016,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001016,RES 1200001016 INV 100660001016 payment evidence,92.95,6057.85,100660001016,1200001016,,100660001016,PARSED,receipt_ref_002_line003,receipt_ref_002,2026-04-27,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,92.95,,MATCH,READY,receipt_ref_002,
pb001_line020,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001020,RES 1200001020 INV 100660001020 payment evidence,92.95,6057.85,100660001020,1200001020,,100660001020,PARSED,receipt_ref_002_line007,receipt_ref_002,2026-04-27,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,92.95,,MATCH,READY,receipt_ref_002,
pb001_line024,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001024,RES 1200001024 INV 100660001024 payment evidence,92.95,6057.85,100660001024,1200001024,,100660001024,PARSED,receipt_ref_002_line011,receipt_ref_002,2026-04-27,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,92.95,,MATCH,READY,receipt_ref_002,
pb001_line009,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001009,RES 1200001009 INV 100660001009 payment evidence,160.75,6057.85,100660001009,1200001009,,100660001009,PARSED,receipt_ref_001_line009,receipt_ref_001,2026-04-28,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,160.75,,MATCH,READY,receipt_ref_001,
pb001_line006,payment_batch_001,2026-04-26,GB,E_COMMERCE,Portfolio Customer,CU001006,RES 1200001006 INV 100660001006 payment evidence,280.35,6057.85,100660001006,1200001006,,100660001006,PARSED,receipt_ref_001_line006,receipt_ref_001,2026-04-28,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,280.35,,MATCH,READY,receipt_ref_001,
pb005_line007,payment_batch_005,2026-02-15,ES,CARD_PRESENT,Portfolio Customer,CU001081,RES 1200001081 INV 100660001081 payment evidence,107.95,3370.90,100660001081,1200001081,,100660001081,PARSED,receipt_ref_007_line007,receipt_ref_007,2026-02-15,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,107.95,,MATCH,READY,receipt_ref_007,
pb005_line001,payment_batch_005,2026-02-15,ES,CARD_PRESENT,Portfolio Customer,CU001075,RES 1200001075 INV 100660001075 payment evidence,291.35,3370.90,100660001075,1200001075,,100660001075,PARSED,receipt_ref_007_line001,receipt_ref_007,2026-02-15,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,291.35,,MATCH,READY,receipt_ref_007,
pb005_line005,payment_batch_005,2026-02-15,ES,CARD_PRESENT,Portfolio Customer,CU001079,RES 1200001079 INV 100660001079 payment evidence,291.35,3370.90,100660001079,1200001079,,100660001079,PARSED,receipt_ref_007_line005,receipt_ref_007,2026-02-15,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,291.35,,MATCH,READY,receipt_ref_007,
pb005_line009,payment_batch_005,2026-02-15,ES,CARD_PRESENT,Portfolio Customer,CU001083,RES 1200001083 INV 100660001083 payment evidence,291.35,3370.90,100660001083,1200001083,,100660001083,PARSED,receipt_ref_007_line009,receipt_ref_007,2026-02-15,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,291.35,,MATCH,READY,receipt_ref_007,
pb005_line008,payment_batch_005,2026-02-15,ES,CARD_PRESENT,Portfolio Customer,CU001082,RES 1200001082 INV 100660001082 payment evidence,171.75,3370.90,100660001082,1200001082,,100660001082,PARSED,receipt_ref_007_line008,receipt_ref_007,2026-02-15,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,171.75,,MATCH,READY,receipt_ref_007,
pb005_line003,payment_batch_005,2026-02-15,ES,CARD_PRESENT,Portfolio Customer,CU001077,RES 1200001077 INV 100660001077 payment evidence,107.95,3370.90,100660001077,1200001077,,100660001077,PARSED,receipt_ref_007_line003,receipt_ref_007,2026-02-15,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,107.95,,MATCH,READY,receipt_ref_007,
pb005_line012,payment_batch_005,2026-02-15,ES,CARD_PRESENT,Portfolio Customer,CU001086,RES 1200001086 INV 100660001086 pending receipt evidence,168.75,3370.90,100660001086,1200001086,,100660001086,PARSED,,,,,,,,,,,CHECK,CHECK_QUEUE,CHECK,CHECK
pb005_line013,payment_batch_005,2026-02-15,ES,CARD_PRESENT,Portfolio Customer,CU001087,RES 1200001087 INV 100660001087 pending receipt evidence,288.35,3370.90,100660001087,1200001087,,100660001087,PARSED,,,,,,,,,,,CHECK,CHECK_QUEUE,CHECK,CHECK
pb005_line011,payment_batch_005,2026-02-15,ES,CARD_PRESENT,Portfolio Customer,CU001085,RES 1200001085 INV 100660001085 pending receipt evidence,100.95,3370.90,100660001085,1200001085,,100660001085,PARSED,,,,,,,,,,,CHECK,CHECK_QUEUE,CHECK,CHECK
pb005_line010,payment_batch_005,2026-02-15,ES,CARD_PRESENT,Portfolio Customer,CU001084,RES 1200001084 INV 100660001084 payment evidence,459.80,3370.90,100660001084,1200001084,,100660001084,PARSED,receipt_ref_007_line010,receipt_ref_007,2026-02-15,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,459.80,,MATCH,READY,receipt_ref_007,
pb005_line006,payment_batch_005,2026-02-15,ES,CARD_PRESENT,Portfolio Customer,CU001080,RES 1200001080 INV 100660001080 payment evidence,459.80,3370.90,100660001080,1200001080,,100660001080,PARSED,receipt_ref_007_line006,receipt_ref_007,2026-02-15,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,459.80,,MATCH,READY,receipt_ref_007,
pb005_line004,payment_batch_005,2026-02-15,ES,CARD_PRESENT,Portfolio Customer,CU001078,RES 1200001078 INV 100660001078 payment evidence,171.75,3370.90,100660001078,1200001078,,100660001078,PARSED,receipt_ref_007_line004,receipt_ref_007,2026-02-15,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,171.75,,MATCH,READY,receipt_ref_007,
pb005_line002,payment_batch_005,2026-02-15,ES,CARD_PRESENT,Portfolio Customer,CU001076,RES 1200001076 INV 100660001076 payment evidence,459.80,3370.90,100660001076,1200001076,,100660001076,PARSED,receipt_ref_007_line002,receipt_ref_007,2026-02-15,CARD_PRESENT,Accepted,STANDARD_PAYMENT,ACQUIRER_REFERENCE,INVOICE,459.80,,MATCH,READY,receipt_ref_007,
pb006_line001,payment_batch_006,2026-04-12,DE,E_COMMERCE,Portfolio Customer,CU001088,RES 1200001088 INV 100660001088 payment evidence,143.40,4105.55,100660001088,1200001088,,100660001088,PARSED,receipt_ref_008_line001,receipt_ref_008,2026-04-14,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,143.40,,MATCH,READY,receipt_ref_008,
pb006_line005,payment_batch_006,2026-04-12,DE,E_COMMERCE,Portfolio Customer,CU001092,RES 1200001092 INV 100660001092 payment evidence,143.40,4105.55,100660001092,1200001092,,100660001092,PARSED,receipt_ref_008_line005,receipt_ref_008,2026-04-14,E_COMMERCE,Accepted,STANDARD_PAYMENT,GATEWAY_MAPPING,GATEWAY_TOKEN_RESOLUTION,143.40,,MATCH,READY,receipt_ref_008,
